,predict
0,0.06819895068148443
1,0.08842534232544433
2,0.06863955049169623
3,0.058841522963708426
4,0.04903120752494902
5,0.0992085519588859
6,0.07937350404898741
7,0.07952601157872136
8,0.10966602233155598
9,0.10979348409095913
10,0.0799083446403992
11,0.08001055176334379
12,0.0801000532432612
13,0.11017679686361961
14,0.08024073040788698
15,0.07029180165953133
16,0.08032995840202098
17,0.08035514841882352
18,0.08036731949340722
19,0.08036641940924019
20,0.06035239594979058
21,0.09032519689852647
22,0.10028477003891556
23,0.10023106315442618
24,0.11016402402852657
25,0.0900836004446845
26,0.09998974018636791
27,0.09988239103704527
28,0.09976150078018445
29,0.15962701719925354
30,0.1394788880777206
31,0.09931706119905354
32,0.09914148434672054
33,0.11895210530418965
34,0.12874887185492895
35,0.11853173178240661
36,0.13830063287009053
37,0.1280555229014487
38,0.12779634965994946
39,0.12752306092906063
40,0.1272356044922504
41,0.1769339281329867
42,0.1666179796347377
43,0.17628770678097153
44,0.1659430573551561
45,0.1755839791407595
46,0.17521041992124992
47,0.18482232748009536
48,0.17441964960076362
49,0.18400233406672312
50,0.17357032866144168
51,0.16312358116838754
52,0.16266203937102874
53,0.1621856510528333
54,0.17169436399726917
55,0.16118812598780463
56,0.1706668848079076
57,0.17013058824104613
58,0.17957918407068835
59,0.16901262008030232
60,0.16843084405335593
61,0.16783380377331747
62,0.12722144702365493
63,0.12659372158783644
64,0.1359505752493298
65,0.14529195579160345
66,0.1346178109981251
67,0.13392808865236303
68,0.1232227365377852
69,0.1225017024378598
70,0.12176493413605477
71,0.12101237941583795
72,0.13024398606067802
73,0.12945970185404246
74,0.12865947457939947
75,0.12784325202021743
76,0.12701098195996396
77,0.1261626121821075
78,0.14529809047011577
79,0.13441736460745693
80,0.12352038237759938
81,0.13260709156401063
82,0.12167743995015923
83,0.13073137531951276
84,0.1297688454555398
85,0.12878979814170805
86,0.1077941811614857
87,0.11678194229834082
88,0.12575302933574134
89,0.09470739005715564
90,0.11364497224605144
91,0.102565723685897
92,0.10146959216016022
93,0.10035652545230928
94,0.07922647134581207
95,0.08807937762413706
96,0.08691519207075188
