,yhat,yhat_lower,yhat_upper,y
277,0.930878770994688,0.5889011116782112,1.3375960701006355,0.58
278,0.9226959068402467,0.5906278698814189,1.311468927814953,0.57
279,0.9203637609316175,0.5650725727340691,1.2945826598281411,0.57
280,0.9069861000324753,0.5954138828851041,1.3110140882177745,0.57
281,0.9043072440279005,0.5668283390472235,1.2939325832700659,0.57
282,0.9006949497153491,0.5669527658961575,1.2900224028183591,0.58
283,0.8909411050601674,0.5832121310189935,1.2828777132868114,0.57
284,0.8874394573787567,0.5730343727645093,1.272461068635697,0.59
285,0.8735247619521231,0.559844298803875,1.277871058627325,0.59
286,0.8714700428973978,0.5279401966463659,1.2445610663241946,0.58
287,0.8689271831343759,0.546596974606266,1.2833191333639582,0.57
288,0.8601838833254083,0.5445446013302868,1.2222898361384456,0.57
289,0.8584207911942654,0.5556131551545649,1.2454955791678954,0.55
290,0.8509751437678565,0.5322157178073128,1.2391557997957916,0.56
291,0.8514365765177616,0.5382850016670182,1.2520514162667395,0.56
292,0.8514760047535561,0.5467069606210062,1.2441718493097005,0.55
293,0.8455684150710792,0.5120991777683452,1.2134432216694475,0.53
294,0.846344187283766,0.5313932213232024,1.253794074949588,0.54
295,0.8440913790076705,0.5247033555859393,1.2071235553459738,0.52
296,0.8463951572212867,0.5162650779994222,1.2311955676248822,0.53
297,0.848007563374263,0.5347176676667635,1.2441403573031176,0.53
298,0.8433640646612994,0.5302559596164149,1.1880812919642896,0.52
299,0.8451360880509866,0.5244942639764381,1.2177858203167609,0.52
300,0.844762884900992,0.5480643704604722,1.2381571332540835,0.52
301,0.8468990444738693,0.5172599495934165,1.2113564044117897,0.53
302,0.8480847290774027,0.5439749676902288,1.2203101289011444,0.53
303,0.8422081436772497,0.5232858472683175,1.2195188385075086,0.55
304,0.8431287087105288,0.5410045549249902,1.2435490658487667,0.56
305,0.838758729733118,0.5489276464267963,1.2244235737275586,0.55
306,0.8396917759737965,0.5232795731377269,1.214948014651533,0.55
307,0.8396984021273892,0.5180983215009751,1.198616124568641,0.53
308,0.832231387346783,0.5263393115068877,1.1912272468738272,0.51
309,0.8321384674997208,0.5503030828694431,1.2006206432628619,0.51
310,0.830060018436171,0.5518920338655686,1.1888958153176534,0.5
311,0.830748638724746,0.5438887513640791,1.1970366818024054,0.49
312,0.8306971204707885,0.5204247308994678,1.1522173482724183,0.49
313,0.8231329890695209,0.519639055151693,1.1921525537652458,0.5
314,0.8235097515269045,0.5208065906704067,1.1913240731542665,0.49
315,0.8255264673877161,0.5436481551895567,1.1515834109418512,0.47
316,0.8275361157159562,0.5587354370604989,1.1643675968890719,0.48
317,0.8289789939952563,0.5508803741095742,1.180281791838079,0.48
318,0.8207480603048734,0.531089123997464,1.1260683187007041,0.49
319,0.8228203877585516,0.5496931542816479,1.1346915906262751,0.49
320,0.828147790643305,0.5371044169870616,1.1657304389981182,0.47
321,0.8318551333431528,0.5341124103270942,1.1697187350336091,0.47
322,0.8348820747940668,0.5553066894936665,1.163979035469905,0.45
323,0.8294864848543466,0.5396053370828695,1.1536403747855166,0.45
324,0.8328290632002571,0.547210553883483,1.144429303798753,0.46
325,0.8331449327596891,0.5158660560913457,1.1909796802803805,0.43
326,0.837260424732158,0.5654879282384189,1.1863001374692326,0.42
327,0.8404696549732507,0.5374102657345259,1.1975744140912807,0.44
328,0.8350475336409757,0.52804825226236,1.2003684187503123,0.42
329,0.8382034267539542,0.5544275030375356,1.1761704468231793,0.41
330,0.8479695502076456,0.5528233421570388,1.1747495415163667,0.43
331,0.8515167347018824,0.5749549035563213,1.1806423791744338,0.45
332,0.8541492941570732,0.5736746125891479,1.193690677634359,0.44
333,0.8476344247549836,0.5575307894538506,1.1883385742959294,0.49
334,0.8502470426720672,0.5727469924434865,1.199006642540648,0.46
335,0.8542507941870374,0.5724077116976465,1.1606597097300217,0.44
336,0.8576569211878462,0.5982204723351978,1.2062003162102997,0.46
337,0.860282134730294,0.5575282265875401,1.2050975623735503,0.46
338,0.852671277297335,0.5700465685650717,1.1903373753034856,0.47
339,0.8556579634314296,0.5615463750577294,1.1849673815621995,0.46
340,0.8609261254849707,0.5564485042944793,1.1804851589818934,0.45
341,0.8653811246090268,0.5815622093879598,1.2002175776265323,0.47
342,0.8691453918331986,0.573946556281997,1.2017049489923934,0.47
343,0.8639733702315218,0.5718354275919177,1.2069368834827157,0.48
344,0.8682258769788769,0.5806925626034367,1.2006207331829843,0.51
345,0.8776502283775276,0.5947848863932477,1.2010862861007086,0.54
346,0.8831237473553135,0.5851944638632909,1.2235207967858495,0.54
347,0.8876646660365317,0.6246162834119047,1.207696526818113,0.54
348,0.8831277691692949,0.6088221302436967,1.2330023551062692,0.52
349,0.8876732363630062,0.5918947826951457,1.2344096716101638,0.52
350,0.8962832426208001,0.6083437722703404,1.2390769141530829,0.53
351,0.9006297894017854,0.6036324570985423,1.2407713219444898,0.52
352,0.9036843068015983,0.6075776942737312,1.257856762327386,0.53
353,0.8972297493051236,0.5940800018854853,1.2580213765049306,0.56
354,0.899536528135843,0.6047541764603321,1.263123260953714,0.58
355,0.8980018371296914,0.5935230904236832,1.2532532192059498,0.57
356,0.8988754719330858,0.6222901103977905,1.2302194787959206,0.56
357,0.8982751975939034,0.63839865282087,1.258338237740468,0.55
358,0.889314661917679,0.610725653575249,1.2390893476475808,0.55
359,0.8877793175865676,0.5869667226206907,1.217036359616177,0.58
360,0.8715829960890917,0.5671988515518178,1.223093016189003,0.59
361,0.8689007344284332,0.5678894636484562,1.2275594898005102,0.61
362,0.8650592090775404,0.5594709662061779,1.1966765194012483,0.59
363,0.849316456797387,0.5507618298434749,1.1776014611940018,0.61
364,0.8452138643808054,0.5434775763812676,1.1860172815660945,0.61
365,0.8338032678378879,0.5483336986894676,1.1907777806607043,0.61
366,0.8302605288878973,0.5347546230910232,1.201937593381317,0.61
367,0.8259801089942567,0.51187709410293,1.1738089853939826,0.62
368,0.8109625344824991,0.5130293882166177,1.156185800195762,0.6
369,0.8072740742124267,0.5336916196147212,1.1445771062324641,0.61
370,0.8039739428848471,0.5125200184972751,1.1331507270189256,0.59
371,0.8022763423086976,0.5205230341130165,1.123854805762332,0.6
372,0.8000562058230414,0.5246869472265032,1.1362091830432304,0.59
373,0.7886642326427249,0.500650860388224,1.1221806430874528,0.57
