,yhat,yhat_lower,yhat_upper,y
0,1.8951090072394545,1.5466876837599948,2.290369374045396,1.6
1,1.8976655919073004,1.5239084836429369,2.316219119021357,1.6
2,1.9011298328622122,1.54763024187235,2.325662211014924,1.62
3,1.9274901143963832,1.5545885276586984,2.3475231789842983,1.59
4,1.9308828556827855,1.561042668831333,2.3288810836081626,1.57
5,1.9120949113055912,1.5718523161719373,2.30993614902606,1.52
6,1.9157112114862644,1.540305568322244,2.310494909401977,1.48
7,1.9199756933834893,1.5585697848108353,2.3552442794334367,1.48
8,1.9464887661759005,1.619081140854639,2.3471218702631114,1.5
9,1.950136008057164,1.5751845417981856,2.344234759496095,1.5
10,1.9252782797728152,1.5921240025832435,2.312754862068776,1.5
11,1.9281646459327932,1.592544141557029,2.327153514960597,1.47
12,1.9315839759585387,1.5655092904731878,2.3382048023980304,1.48
13,1.954416373507844,1.5989843805883588,2.3557765689917383,1.5
14,1.9569020550087077,1.6086991404114248,2.3520606880922204,1.51
15,1.9339751269245498,1.5601639845543271,2.351445310072824,1.49
16,1.935593671628304,1.5781839696915632,2.330730287337687,1.49
17,1.9377102607504657,1.5879039778147432,2.3288526405136145,1.5
18,1.9614441593904606,1.6160782033400727,2.3574532106447403,1.49
19,1.9627520504248692,1.6205990161371933,2.3819553901037236,1.5
20,1.941350303064025,1.599126489083539,2.356612277928914,1.48
21,1.9421378458257843,1.6087620001404637,2.3394631121515905,1.44
22,1.9436926803963144,1.5844497676683749,2.3494503797060298,1.45
23,1.9601020801582827,1.639018964830297,2.365923581862918,1.45
24,1.9610195222712816,1.5894121607857392,2.3438573729348646,1.45
25,1.934736832919432,1.5941428480060709,2.300657212737794,1.45
26,1.9353992299499425,1.6003518526880973,2.3351270628889433,1.41
27,1.936889106022622,1.6264035062422,2.321225663183875,1.39
28,1.9569411861276356,1.5995973359956661,2.315413892053873,1.37
29,1.9577452658193066,1.5943055458215896,2.3310190974631992,1.38
30,1.929625393902008,1.6123902204485767,2.3398069565760014,1.35
31,1.9298822540478788,1.5827202816777453,2.300102721627251,1.33
32,1.9308523925350798,1.5909083827774269,2.3648940402052965,1.34
33,1.9507202093789604,1.5778295033664809,2.3520960075910615,1.35
34,1.950769462441643,1.5815212521560733,2.34558221495852,1.33
35,1.9182521356166844,1.5792054045106667,2.309282852496592,1.33
36,1.917163176544129,1.5691518588799123,2.31159071852708,1.33
37,1.9167797538527882,1.6032970845142263,2.3033625998276928,1.32
38,1.9296233238138956,1.5850319376197928,2.3431448012924276,1.32
39,1.9281664447462998,1.5967302663988598,2.3205034298109357,1.32
40,1.8917238753597352,1.5520709946940472,2.2747603338577527,1.33
41,1.8893559904012265,1.56818419903423,2.2691682901760455,1.32
42,1.8877331177321537,1.5445785497227154,2.2909777001919633,1.33
43,1.901652708070508,1.5492641835478826,2.272182257768502,1.33
44,1.8992362976946864,1.5723874204212174,2.2427567781448228,1.35
45,1.861396210533679,1.5118751668960626,2.2220005310512847,1.34
46,1.8588386960856336,1.5378450063745395,2.2427894875653442,1.36
47,1.857306584492926,1.5182464445733381,2.2401473195512493,1.35
48,1.8729612907418152,1.5422721827840968,2.2782225803620415,1.36
49,1.8710857551003377,1.5344946076753172,2.2372475662766718,1.36
50,1.839275635830262,1.5081043258864413,2.2221186007715303,1.35
51,1.8380582965682657,1.5012727368523273,2.20864662922155,1.36
52,1.837906285267417,1.5111186301515072,2.204059195990007,1.33
53,1.854953846759913,1.540949432463484,2.2196615728743794,1.33
54,1.8547100725791346,1.5301827171036773,2.2647727607640613,1.35
55,1.8269675911520418,1.5241939713994714,2.1971032242523383,1.31
56,1.8274636658078545,1.4890811826214367,2.1826580925212813,1.31
57,1.8289231698494235,1.5043994678137689,2.169181691472783,1.29
58,1.8451169325803738,1.525415992615354,2.254987548666138,1.3
59,1.8463718197037964,1.5110726788239601,2.2062208846768354,1.29
60,1.8202723026576386,1.4999223079776502,2.233168526996529,1.27
61,1.8217289187428611,1.499561007975168,2.174955150845283,1.26
